Datetime,Username,Content
2023-04-18 23:59:59+00:00,osbvmt,"""Join the Revolution: Decentralized Television and Decentraland Metaverse Content Open Up New Opportunities for Content Creators and Viewers"" https://t.co/KcrCtaSJIy **** https://t.co/5v1knvoZ8K ****https://t.co/rWztcL1RDU **** https://t.co/PA8rU5tXRl"
2023-04-18 23:59:45+00:00,Moon_Shadowss,"I think the project that has suffered a lot of losses is Project Metaverse(Meta + Facebook)-Web 3, you also know that many have resigned #Bitcoin"
2023-04-18 23:59:41+00:00,mentalmarketer,Should young teenagers be allowed in the metaverse? https://t.co/ifIuOkt8O3 #cx #custserv #EX #ROX #ExperienceEconomy #FutureOfWork #FutureBack #InfiniteJourneys #crypto #DesignThinking #DeFi #DAOs #Web3 #NFTs #LifeJourneys #VirtualWorld #GameFi #3D #metaverse #bc #d #dapps #HX…
2023-04-18 23:59:05+00:00,gemstooneii,"What do you think about the growing popularity of NFTs, Generative AI and Metaverse? Share your thoughts below! #NFT #GenerativeAI #Metaverse #Crypto

@Casper_Network @scullather @scullather @scullather @oixofficial"
2023-04-18 23:59:05+00:00,Tamo_Tamo_77,"Boom 💥! Next Earth on the cover of @Metav_Insider, the leading news provider on the #metaverse industry! Read or watch the interview with @davidtayloryo on how Next Earth sets the standard for virtual worlds.
https://t.co/oE65jx0cPP"
2023-04-18 23:59:04+00:00,MetaverseXpress,@NFTignition It was so great to see you in NY 💕
2023-04-18 23:58:33+00:00,Darling_Franxxx,@SolJakey @NoHoomans I'm bullish/alienish or whatever you want to call it. A new experience for everyone in the metaverse 😉 https://t.co/0yiSThKRvF
2023-04-18 23:58:32+00:00,llc_hello,📣 𝗝𝗼𝗶𝗻 𝘂𝘀 𝗧𝗼𝗻𝗶𝗴𝗵𝘁 𝗳𝗼𝗿 𝗔𝗺𝗮𝘇𝗶𝗻𝗴 𝗛𝗼𝘄-𝘁𝗼’𝘀 𝗶𝗻 𝗛𝗲𝗹𝗹𝗼 𝗣𝗹𝗮𝘇𝗮🎉 🔸 𝗧𝘂𝗲𝘀𝗱𝗮𝘆𝘀 - How-to’s (7:30 PM CST) IN METAVERSE VR HEADSETS REQUIRED JOIN US TOMORROW from your PHONE 📱!! Expand your knowledge with our weekly informative sessions! To https://t.co/fDaq92vUvu
2023-04-18 23:58:05+00:00,metaverseba,"Update on membership applications:

@rxggietan has been unshackled from his desk after completing the approval email design and the team will begin sending out approval emails as early as tomorrow.

Heading to 100 applicants in queue.

Check your inboxes in the AM."
2023-04-18 23:57:45+00:00,mentalmarketer,From battlefield to homefront: AR is bigger than the metaverse https://t.co/6jxClkC0Qo #cx #custserv #EX #ROX #ExperienceEconomy #FutureOfWork #FutureBack #InfiniteJourneys #crypto #DesignThinking #DeFi #DAOs #Web3 #NFTs #LifeJourneys #VirtualWorld #GameFi #3D #metaverse #bc #d…
2023-04-18 23:57:17+00:00,farahsays01,"@spectatorindex #Meta’s job cuts are a strategic move to focus on the metaverse. 

I’m excited to see what they will create next. 
#MetaFuture"
2023-04-18 23:57:11+00:00,CaptainBlackNFT,"Where y'all at? Have you seen how crazy the #NFTs are getting? What's the coolest project you've seen out there? #Artists #Gamers #NFTCollectors let me hear your thoughts! #Metaverse #GenAI #Web3

@scullather @5ireChain @RandGallery @scullather @FatRatCollector @oixofficial"
2023-04-18 23:56:59+00:00,mentalmarketer,"If there's one thing AI has done for us, it's killed Zuck's metaverse https://t.co/egqBdM0ip3 #cx #custserv #EX #ROX #ExperienceEconomy #FutureOfWork #FutureBack #InfiniteJourneys #crypto #DesignThinking #DeFi #DAOs #Web3 #NFTs #LifeJourneys #VirtualWorld #GameFi #3D #metaverse…"
2023-04-18 23:56:40+00:00,Moon_Shadowss,"start-ups are related to crypto

The Metaverse Project (Meta + Facebook) and Web 3 themselves have failed a lot in 2020-2022, but we also have to look at the field because conditions are also unfavorable, such as pandemics, inflation, recession and the current economy."
2023-04-18 23:56:34+00:00,hamdeesmaael59,"We will be streaming the event via our blockchain metaverse platform. I got only 3 NFT ticket to give away. Each NFT will grant you access to our 360 ° real live stream. The event will be held in the woderful city of Canelo Alvarez , Guadalajara Mexico.  ( spanish speaking event)"
2023-04-18 23:56:29+00:00,farah_lodhi,"@spectatorindex Meta is cutting jobs while spending billions on the metaverse. 
Talk about misplaced priorities. #MetaFail"
2023-04-18 23:55:51+00:00,SolRockersNFT,"What the world needs now... is a little more #cowbell :)

https://t.co/KRd9zOD6R0

#RockMusic #NFts #SNL https://t.co/QkupCF4EQb"
2023-04-18 23:55:48+00:00,muammarfirdaus9,@prctiu @metaverse_promt https://t.co/l5fQhVoK4n
2023-04-18 23:55:35+00:00,ShibCoOp,@FitzroyMcL Glad they got it corrected
2023-04-18 23:55:12+00:00,TribeGreywolfVR,"470 People hanging out and watching us play Fracked by @nDreams 🤩

#VRGaming #vrfam #tiktokstream #metaverse https://t.co/lOLMPbhaiY"
2023-04-18 23:54:41+00:00,mentalmarketer,"Understanding the metaverse: tax, strategy and other considerations https://t.co/x0HOBJ0XQD #cx #custserv #EX #ROX #ExperienceEconomy #FutureOfWork #FutureBack #InfiniteJourneys #crypto #DesignThinking #DeFi #DAOs #Web3 #NFTs #LifeJourneys #VirtualWorld #GameFi #3D #metaverse #bc…"
2023-04-18 23:54:08+00:00,mentalmarketer,4 Key Actions to Amplify Digital Gains and Resilience in Government https://t.co/HQmvRtSGEu #cx #custserv #EX #ROX #ExperienceEconomy #FutureOfWork #FutureBack #InfiniteJourneys #crypto #DesignThinking #DeFi #DAOs #Web3 #NFTs #LifeJourneys #VirtualWorld #GameFi #3D #metaverse #bc…
